Name,Samples,Features,(category-count:feature-count),Number of classes,Class distribution
balance-scale,625,4,5:4,3,"B: 49, L: 288, R: 288"
balloons,16,4,2:4,2,"F: 9, T: 7"
chess-krvk,28056,6,"4:2, 8:4",18,"draw: 2796, eight: 1433, eleven: 2854, fifteen: 2166, five: 471, four: 198, fourteen: 4553, nine: 1712, one: 78, seven: 683, six: 592, sixteen: 390, ten: 1985, thirteen: 4194, three: 81, twelve: 3597, two: 246, zero: 27"
chess-krvkp,3196,36,"2:35, 3:1",2,"nowin: 1527, won: 1669"
connect-4,67557,42,3:42,3,"draw: 6449, loss: 16635, win: 44473"
contraceptive-method,1473,9,"2:3, 4:4, 15:1, 34:1",3,"1: 629, 2: 333, 3: 511"
fertility,100,9,"2:3, 3:2, 4:1, 5:1, 14:1, 18:1",2,"N: 88, O: 12"
habermans-survival,306,3,"12:1, 31:1, 49:1",2,"1: 225, 2: 81"
hayes-roth,132,4,"3:1, 4:3",3,"1: 51, 2: 51, 3: 30"
led-display,500,7,2:7,10,"1: 45, 10: 49, 2: 37, 3: 51, 4: 57, 5: 52, 6: 52, 7: 47, 8: 57, 9: 53"
lymphography,148,18,"2:9, 3:3, 4:4, 8:2",4,"1: 2, 2: 81, 3: 61, 4: 4"
molecular-promoters,106,57,4:57,2,"+: 53, -: 53"
molecular-splice,3190,60,"4:15, 5:43, 6:2",3,"EI: 767, IE: 768, N: 1655"
monks-1,556,6,"2:2, 3:2, 4:2",2,"0: 278, 1: 278"
monks-2,601,6,"2:2, 3:2, 4:2",2,"0: 395, 1: 206"
monks-3,554,6,"2:2, 3:2, 4:2",2,"0: 266, 1: 288"
nursery,12960,8,"2:1, 3:3, 4:3, 5:1",5,"not_recom: 4320, priority: 4266, recommend: 2, spec_prior: 4044, very_recom: 328"
optdigits,5620,64,"1:2, 2:3, 3:1, 4:1, 5:1, 7:1, 8:1, 9:3, 11:1, 13:1, 15:2, 16:1, 17:46",10,"0: 554, 1: 571, 2: 557, 3: 572, 4: 568, 5: 558, 6: 558, 7: 566, 8: 554, 9: 562"
pendigits,10992,16,"96:1, 98:1, 101:13, 102:1",10,"0: 1143, 1: 1143, 2: 1144, 3: 1055, 4: 1144, 5: 1055, 6: 1056, 7: 1142, 8: 1055, 9: 1055"
semeion,1593,257,"1:1, 2:255, 3:1",10,"0: 161, 1: 162, 2: 159, 3: 159, 4: 161, 5: 159, 6: 161, 7: 158, 8: 155, 9: 158"
spect-heart,267,22,2:22,2,"0: 157, 1: 110"
tic-tac-toe,958,9,3:9,2,"negative: 332, positive: 626"
zoo,101,17,"2:15, 6:1, 100:1",7,"1: 41, 2: 20, 3: 5, 4: 13, 5: 4, 6: 8, 7: 10"
