Dataset,Normal,OHE,Winner
balance-scale,0.592809688688346,0.5391057761436894,0.0
balloons,0.6416666666666666,0.7,1.0
chess-krvk,0.09819321185876687,0.07018477592499961,0.0
chess-krvkp,0.8439162590902377,0.865264471485139,1.0
connect-4,0.3929195296734648,0.3333333333333333,0.0
contraceptive-method,0.3333333333333333,0.3333333333333333,0.0
habermans-survival,0.5082101806239737,0.5,0.0
hayes-roth,0.6018756189344424,0.4864602663132075,0.0
led-display,0.5393285137634983,0.542419395190293,1.0
lymphography,0.41721622897824273,0.37637009189640774,0.0
molecular-promoters,0.8914170843776107,0.8059492481203009,0.0
molecular-splice,0.366560693072321,0.3333333333333333,0.0
monks-1,0.7655919021969376,0.763081862036295,0.0
monks-2,0.5,0.5,0.0
monks-3,0.9233862890270345,0.9165089846045493,0.0
nursery,0.6221231843142421,0.5736700133196997,0.0
optdigits,0.7437141099046507,0.7284187430241925,0.0
pendigits,0.6419136385532496,0.5427585372353139,0.0
semeion,0.4744416814513007,0.4207248385125899,0.0
spect-heart,0.6526753337182648,0.678003476453042,1.0
tic-tac-toe,0.5,0.5,0.0
zoo,0.3595238095238095,0.35238095238095235,0.0
