Dataset,TreeEnsemble,RandomForest,AdaBoost,Winner
balance-scale,0.5654054854061151,0.592860294052756,0.6414487504869781,Ada
balloons,0.725,0.75,0.7,RF
chess-krvk,0.07005023041650994,0.705802786964273,0.0973725803650871,RF
chess-krvkp,0.9069656879024135,0.9907632238601962,0.9467765154381503,RF
connect-4,0.3333333333333333,0.49303830734537935,0.46913922932143787,RF
contraceptive-method,0.3333333333333333,0.6074114409856026,0.42888986126366824,RF
habermans-survival,0.5,0.5525474881499272,0.5086184180636955,RF
hayes-roth,0.4924192909487027,0.8162374499139204,0.6658823529411764,RF
led-display,0.5413209282977085,0.7128257704627673,0.6515989901910955,RF
lymphography,0.3215382205513785,0.5502001413282878,0.45160870679663584,RF
molecular-promoters,0.8357423205449521,0.872813845511214,0.9322953216374268,Ada
molecular-splice,0.3333333333333333,0.9529708264381561,0.9375481940063551,RF
monks-1,0.7655919021969376,0.9908843516829353,0.7655919021969376,RF
monks-2,0.5,0.7247781499888989,0.46199734608825516,RF
monks-3,0.9289711208618663,0.9774759792162696,0.9528147184503057,RF
nursery,0.582284977810599,0.878936720653881,0.6248077220323836,RF
optdigits,0.7085566381908416,0.9456892372892556,0.7385688308383644,RF
pendigits,0.48755367501442637,0.8820757708773259,0.555142721184992,RF
semeion,0.43100887406437394,0.9242418583026785,0.5753702526274453,RF
spect-heart,0.7147229330471355,0.7143110249859252,0.6780040575234155,TE
tic-tac-toe,0.5,0.9642339851233512,0.7448849802699745,RF
zoo,0.3095238095238095,0.9206349206349206,0.6968253968253968,RF
